battlecruiser1              us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.166   34.16.119.104    RUNNING
battleship-20250427-123707  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.2     35.238.175.63    RUNNING
battleship-20250427-123750  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.3     35.192.84.2      RUNNING
battleship-20250427-123803  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.4     34.132.47.84     RUNNING
battleship-20250427-123823  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.5     34.42.140.171    RUNNING
battleship-20250427-123835  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.6     34.45.11.91      RUNNING
battleship-20250427-123845  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.7     34.173.122.169   RUNNING
battleship-20250427-140021  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.39    35.188.105.61    RUNNING
battleship-20250427-140031  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.40    104.197.134.143  RUNNING
battleship-20250427-140033  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.42    34.10.36.220     RUNNING
battleship-20250427-140035  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.41    34.121.2.229     RUNNING
battleship-20250427-140036  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.43    34.56.131.14     RUNNING
battleship-20250427-140038  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.44    34.133.71.94     RUNNING
battleship-20250427-153438  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.83    35.232.106.211   RUNNING
battleship-20250427-153439  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.85    35.225.245.15    RUNNING
battleship-20250427-153440  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.86    34.16.126.26     RUNNING
battleship-20250427-153444  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.87    34.70.251.97     RUNNING
battleship-20250427-153459  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.79    34.42.49.166     RUNNING
battleship-20250427-153501  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.80    34.121.108.55    RUNNING
battleship-20250427-165737  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.144   34.9.245.160     RUNNING
battleship-20250427-165738  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.147   34.67.145.238    RUNNING
battleship-20250427-165740  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.148   34.69.230.90     RUNNING
battleship-20250427-165742  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.150   35.188.76.40     RUNNING
battleship-20250427-165743  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.151   34.66.225.235    RUNNING
battleship-20250427-165746  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.167   35.226.143.88    RUNNING
battleship-20250427-183151  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.213   34.170.54.219    RUNNING
battleship-20250427-183154  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.214   104.197.255.49   RUNNING
battleship-20250427-183155  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.215   34.170.131.157   RUNNING
battleship-20250427-183157  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.216   130.211.116.70   RUNNING
battleship-20250427-183159  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.217   34.9.14.25       RUNNING
battleship-20250427-183201  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.220   34.31.4.236      RUNNING
battleship-20250428-083132  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.219  34.31.174.105    RUNNING
battleship-20250428-083133  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.206  34.9.222.58      RUNNING
battleship-20250428-083134  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.207  34.59.106.17     RUNNING
battleship-20250428-083135  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.216  35.223.17.231    RUNNING
battleship-20250428-083137  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.217  34.42.128.142    RUNNING
battleship-20250428-083138  us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.218  34.28.202.25     RUNNING
bleeding-principal          us-central1-a  e2-highcpu-2                                 10.128.0.33    34.58.49.123     RUNNING
bs2-20250427-123956         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.8     35.222.125.175   RUNNING
bs2-20250427-124011         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.9     34.56.44.105     RUNNING
bs2-20250427-124041         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.10    34.72.10.66      RUNNING
bs2-20250427-124054         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.11    35.225.178.198   RUNNING
bs2-20250427-124121         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.12    34.55.133.127    RUNNING
bs2-20250427-124146         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.13    34.28.172.47     RUNNING
bs2-20250427-140133         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.45    34.60.72.184     RUNNING
bs2-20250427-140135         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.46    34.60.20.28      RUNNING
